precio,superficie,baños,habitaciones,precio/metro,Barrio
2200,120,2,3,18,Sant Gervasi-Galvany 
1400,95,2,3,15,Sant Gervasi-Galvany 
1200,73,1,2,16,El Putxet-El Farró 
1900,120,2,3,16,Sant Gervasi-La Bonanova 
2850,150,2,3,19,Les Tres Torres 
1700,85,2,3,20,El Putxet-El Farró 
1050,80,1,3,13,El Putxet-El Farró 
1000,122,2,3,8,El Putxet-El Farró 
4900,214,2,6,23,Les Tres Torres 
1150,90,2,3,13,Sant Gervasi-Galvany 
1850,126,2,3,15,Sarrià 
3000,194,3,5,15,Sant Gervasi-Galvany 
4000,350,4,6,11,Sant Gervasi-La Bonanova 
1700,160,2,4,11,Sant Gervasi-Galvany 
5500,280,4,5,20,Sant Gervasi-Galvany 
5900,439,4,5,13,Sant Gervasi-Galvany 
1150,72,1,3,16,Sarrià 
950,65,2,2,15,Sarrià 
1550,80,1,3,19,Sant Gervasi-Galvany 
1000,43,1,1,23,Sant Gervasi-La Bonanova 
900,70,1,3,13,El Putxet-El Farró 
980,60,1,1,16,Sant Gervasi-La Bonanova 
980,85,1,3,12,Sant Gervasi-La Bonanova 
1000,80,1,4,13,Sant Gervasi-La Bonanova 
875,51,1,2,17,Sant Gervasi-Galvany 
1100,80,2,4,14,Les Tres Torres 
1500,85,2,2,18,Sant Gervasi-Galvany 
850,63,1,2,13,Sant Gervasi-Galvany 
1500,140,3,3,11,El Putxet-El Farró 
1650,119,2,2,14,Sant Gervasi-Galvany 
1600,85,2,2,19,El Putxet-El Farró 
3600,259,3,5,14,Sant Gervasi-Galvany 
950,90,2,2,11,El Putxet-El Farró 
1550,80,1,3,19,Sant Gervasi-Galvany 
900,45,1,1,20,Sant Gervasi-Galvany 
1025,58,1,1,18,Sant Gervasi-Galvany 
1600,128,2,4,13,Sant Gervasi-La Bonanova 
1600,80,1,2,20,Sant Gervasi-Galvany 
1200,85,2,3,14,El Putxet-El Farró 
1225,87,2,2,14,Sant Gervasi-La Bonanova 
2500,100,1,2,25,Sant Gervasi-Galvany 
1346,90,2,4,15,El Putxet-El Farró 
1500,140,3,3,11,El Putxet-El Farró 
1200,65,1,1,18,Sant Gervasi-Galvany 
800,54,1,3,15,Sant Gervasi-Galvany 
1500,140,3,3,11,El Putxet-El Farró 
1400,65,1,2,22,Sant Gervasi-Galvany 
2675,230,3,6,12,Sant Gervasi-La Bonanova 
1100,72,2,2,15,Sarrià 
11500,480,4,8,24,Sant Gervasi-La Bonanova 
900,85,1,2,11,El Putxet-El Farró 
2450,212,3,3,12,Sant Gervasi-Galvany 
1200,87,2,5,14,Sant Gervasi-Galvany 
3200,210,3,4,15,Les Tres Torres 
2700,140,3,4,19,Sant Gervasi-La Bonanova 
1400,85,2,3,16,El Putxet-El Farró 
1400,133,2,4,11,El Putxet-El Farró 
3448,115,2,3,30,Sarrià 
1675,80,1,2,21,El Putxet-El Farró 
1300,55,1,1,24,Sant Gervasi-Galvany 
1150,53,1,1,22,Sant Gervasi-Galvany 
