precio,superficie,baños,habitaciones,precio/metro,Barrio
1100,95,2,3,12,Sants-Badal 
830,50,1,1,17,Sants-Badal 
650,50,1,1,13,Sants-Badal 
800,43,1,1,19,El Poble-sec 
900,64,2,3,14,Hostafrancs 
1090,59,1,2,18,El Poble-sec 
950,100,2,3,10,La Bordeta 
1450,102,2,3,14,Sants-Badal 
900,63,2,1,14,El Poble-sec 
1050,42,1,2,25,El Poble-sec 
900,60,1,1,15,Sants-Badal 
1100,88,2,3,13,El Poble-sec 
1250,60,1,2,21,Sants 
750,63,1,2,12,El Poble-sec 
805,49,1,2,16,El Poble-sec 
1300,80,1,3,16,La Bordeta 
900,75,1,3,12,Sants-Badal 
1050,81,1,3,13,La Marina del Port-Parc de Montjuïc 
1210,45,1,1,27,Sants 
850,62,1,3,14,Sants 
800,54,1,2,15,La Marina del Port-Parc de Montjuïc 
900,96,1,3,9,La Marina del Port-Parc de Montjuïc 
900,75,1,2,12,Sants 
800,50,1,3,16,Sants-Badal 
812,61,1,3,13,Sants 
890,45,1,2,20,El Poble-sec 
790,75,1,3,11,Sants-Badal 
850,50,1,2,17,El Poble-sec 
1100,88,2,4,13,La Font de la Guatlla 
1450,106,2,4,14,Sants 
830,67,1,3,12,Sants 
750,55,1,2,14,La Bordeta 
950,71,1,3,13,Sants-Badal 
650,48,1,1,14,Sants-Badal 
870,60,1,2,15,El Poble-sec 
900,48,1,1,19,Sants 
890,100,2,3,9,El Poble-sec 
1250,60,1,2,21,Sants 
827,66,1,3,13,Sants-Badal 
750,55,1,2,14,Sants-Badal 
1050,100,2,4,11,La Bordeta 
950,81,1,3,12,El Poble-sec 
1000,65,1,3,15,El Poble-sec 
1290,60,1,2,22,La Bordeta 
1250,79,2,2,16,La Bordeta 
680,37,1,1,18,El Poble-sec 
1150,100,2,3,12,El Poble-sec 
780,46,1,1,17,Sants 
1000,96,1,3,10,El Poble-sec 
940,62,1,2,15,El Poble-sec 
1050,98,1,3,11,La Bordeta 
815,60,1,3,14,Sants 
940,62,1,2,15,El Poble-sec 
850,60,1,2,14,El Poble-sec 
