precio,superficie,baños,habitaciones,precio/metro,Barrio
800,59,1,3,14,El Camp d'en Grassot-Gràcia Nova 
1.000,60,1,2,17,La Vila de Gràcia 
788,72,2,2,11,El Coll 
900,69,1,3,13,La Vila de Gràcia 
730,60,1,2,12,La Salut 
1.150,88,2,4,13,La Vila de Gràcia 
475,41,1,1,12,El Camp d'en Grassot-Gràcia Nova 
980,55,1,2,18,Vallcarca-Els Penitents 
975,74,1,3,13,La Vila de Gràcia 
950,48,1,1,20,La Vila de Gràcia 
850,65,1,3,13,El Camp d'en Grassot-Gràcia Nova 
1.250,75,2,2,17,La Vila de Gràcia 
1.150,64,1,1,18,La Salut 
850,80,1,2,11,La Vila de Gràcia 
1.115,90,2,4,12,El Camp d'en Grassot-Gràcia Nova 
1.300,65,1,1,20,El Camp d'en Grassot-Gràcia Nova 
3.523,117,2,3,30,La Vila de Gràcia 
870,69,1,2,13,El Camp d'en Grassot-Gràcia Nova 
850,50,1,1,17,La Vila de Gràcia 
800,78,1,3,10,La Vila de Gràcia 
850,78,1,3,11,La Vila de Gràcia 
800,91,1,3,9,Vallcarca-Els Penitents 
1.835,59,1,1,31,La Vila de Gràcia 
3.300,200,3,4,17,La Vila de Gràcia 
1.100,75,1,3,15,La Vila de Gràcia 
1.150,64,1,1,18,La Salut 
950,67,1,2,14,La Vila de Gràcia 
4.147,140,2,3,30,La Vila de Gràcia 
780,50,1,2,16,La Vila de Gràcia 
900,76,2,2,12,El Camp d'en Grassot-Gràcia Nova 
750,53,1,3,14,El Camp d'en Grassot-Gràcia Nova 
990,87,1,3,11,La Vila de Gràcia 
1.300,105,2,4,12,La Vila de Gràcia 
1.099,88,1,3,12,La Vila de Gràcia 
850,78,1,3,11,El Camp d'en Grassot-Gràcia Nova 
1.100,80,2,3,14,El Camp d'en Grassot-Gràcia Nova 
1.150,86,2,4,13,El Camp d'en Grassot-Gràcia Nova 
1.000,70,1,2,14,La Vila de Gràcia 
960,75,2,4,13,El Camp d'en Grassot-Gràcia Nova 
1.000,70,1,3,14,La Vila de Gràcia 
1.000,75,1,3,13,La Vila de Gràcia 
895,64,1,3,14,El Camp d'en Grassot-Gràcia Nova 
2.000,80,1,1,25,La Salut 
820,75,1,3,11,El Camp d'en Grassot-Gràcia Nova 
900,55,1,3,16,La Salut 
1.150,110,2,4,10,La Salut 
1.010,80,1,3,13,La Vila de Gràcia 
939,70,2,3,13,El Camp d'en Grassot-Gràcia Nova 
850,38,1,1,22,La Vila de Gràcia 
700,62,1,2,11,El Coll 
900,80,1,3,11,La Vila de Gràcia 
1.100,48,1,3,23,El Camp d'en Grassot-Gràcia Nova 
700,40,1,1,18,La Vila de Gràcia 
1.170,60,1,2,20,La Vila de Gràcia 
1.400,85,2,3,16,Vallcarca-Els Penitents 
1.150,84,2,4,14,La Salut 
900,45,1,1,20,La Vila de Gràcia 
3.600,193,2,3,19,La Vila de Gràcia 
1.700,90,2,3,19,El Camp d'en Grassot-Gràcia Nova 
1.050,90,1,4,12,La Vila de Gràcia 
1.000,75,1,3,13,El Camp d'en Grassot-Gràcia Nova 
1.150,85,2,3,14,La Vila de Gràcia 
2.500,72,2,2,35,La Vila de Gràcia 
1.250,65,1,2,19,El Camp d'en Grassot-Gràcia Nova 
900,75,1,3,12,La Vila de Gràcia 
1.700,73,1,2,23,La Vila de Gràcia 
1.100,80,2,3,14,El Camp d'en Grassot-Gràcia Nova 
1.400,55,1,2,25,El Camp d'en Grassot-Gràcia Nova 
1.050,84,1,3,13,La Vila de Gràcia 
1.000,85,1,4,12,La Vila de Gràcia 
870,46,1,1,19,La Vila de Gràcia 
950,45,1,1,21,La Vila de Gràcia 
1.500,80,1,2,19,La Vila de Gràcia 
750,62,1,3,12,El Camp d'en Grassot-Gràcia Nova 
1.500,85,1,2,18,La Vila de Gràcia 
1.000,75,1,3,13,El Camp d'en Grassot-Gràcia Nova 
1.350,125,2,3,11,El Camp d'en Grassot-Gràcia Nova 
1.500,75,1,2,20,La Vila de Gràcia 
1.900,127,2,5,15,El Camp d'en Grassot-Gràcia Nova 
600,35,1,1,17,La Vila de Gràcia 
1.250,67,2,3,19,La Vila de Gràcia 
900,75,1,3,12,La Vila de Gràcia 
1.250,58,1,1,22,La Vila de Gràcia 
650,52,1,3,13,El Camp d'en Grassot-Gràcia Nova 
925,86,2,2,11,La Vila de Gràcia 
730,45,1,2,16,La Vila de Gràcia 
1.000,93,2,3,11,La Vila de Gràcia 
1.000,80,1,2,13,El Camp d'en Grassot-Gràcia Nova 
850,46,1,2,18,La Vila de Gràcia 
2.000,80,1,1,25,La Salut 
1.200,83,1,3,14,La Vila de Gràcia 
900,70,1,3,13,La Vila de Gràcia 
875,75,1,3,12,El Camp d'en Grassot-Gràcia Nova 
1.200,40,1,2,30,La Vila de Gràcia 
1.201,90,2,2,13,El Camp d'en Grassot-Gràcia Nova 
900,56,1,3,16,La Vila de Gràcia 
3.800,238,4,4,16,Vallcarca-Els Penitents 
1.600,65,1,2,25,La Vila de Gràcia 
900,75,1,3,12,El Camp d'en Grassot-Gràcia Nova 
1.100,60,1,1,18,La Vila de Gràcia 
1.600,60,1,2,27,La Vila de Gràcia 
950,60,2,2,16,La Vila de Gràcia 
1.300,69,1,3,19,El Camp d'en Grassot-Gràcia Nova 
1.150,85,1,3,14,El Camp d'en Grassot-Gràcia Nova 
1.600,100,2,2,16,La Vila de Gràcia 
3.721,117,2,3,32,La Vila de Gràcia 
895,75,1,3,12,La Vila de Gràcia 
850,57,1,3,15,La Vila de Gràcia 
875,70,1,3,13,El Camp d'en Grassot-Gràcia Nova 
650,55,1,2,12,La Salut 
800,50,1,1,16,El Camp d'en Grassot-Gràcia Nova 
1.122,87,1,2,13,La Salut 
2.000,100,2,3,20,La Vila de Gràcia 
1.000,80,1,2,13,La Vila de Gràcia 
900,60,1,3,15,La Vila de Gràcia 
1.500,120,2,4,13,La Vila de Gràcia 
1.050,100,2,3,11,La Vila de Gràcia 
1.200,80,2,2,15,La Vila de Gràcia 
750,65,1,2,12,El Camp d'en Grassot-Gràcia Nova 
1.200,110,2,4,11,La Salut 
875,76,2,3,12,El Camp d'en Grassot-Gràcia Nova 
830,56,1,2,15,La Vila de Gràcia 
950,60,1,3,16,La Vila de Gràcia 
1.350,96,1,2,14,La Vila de Gràcia 
800,55,1,1,15,El Camp d'en Grassot-Gràcia Nova 
1.500,75,1,2,20,La Vila de Gràcia 
3.000,105,2,3,29,La Vila de Gràcia 
1.300,55,1,2,24,El Camp d'en Grassot-Gràcia Nova 
