precio,superficie,baños,habitaciones,precio/metro,Barrio
900,55,1,1,16,L'Antiga Esquerra de l'Eixample 
2500,180,2,4,14,La Dreta de l'Eixample 
2650,90,2,2,29,La Dreta de l'Eixample 
1300,140,3,2,9,La Sagrada Família 
1290,60,1,2,22,L'Antiga Esquerra de l'Eixample 
1150,120,1,3,10,La Nova Esquerra de l'Eixample 
1200,110,2,4,11,La Nova Esquerra de l'Eixample 
850,55,1,2,15,Sant Antoni 
950,35,1,1,27,La Nova Esquerra de l'Eixample 
1450,130,2,5,11,Sant Antoni 
850,75,1,2,11,La Sagrada Família 
1930,100,2,3,19,Sant Antoni 
1340,100,2,2,13,Sant Antoni 
1050,90,1,4,12,La Sagrada Família 
850,40,1,2,21,La Nova Esquerra de l'Eixample 
1700,81,1,3,21,La Sagrada Família 
1300,51,1,2,25,La Nova Esquerra de l'Eixample 
1700,65,1,1,26,La Dreta de l'Eixample 
930,66,1,3,14,Sant Antoni 
1750,172,2,4,10,La Nova Esquerra de l'Eixample 
1140,40,1,1,29,La Dreta de l'Eixample 
1170,81,1,3,14,La Nova Esquerra de l'Eixample 
650,35,1,1,19,La Dreta de l'Eixample 
1300,90,1,3,14,Sant Antoni 
1150,65,2,3,18,El Fort Pienc 
1600,75,1,2,21,L'Antiga Esquerra de l'Eixample 
1400,70,1,2,20,La Dreta de l'Eixample 
2850,130,3,3,22,La Dreta de l'Eixample 
1250,98,2,3,13,La Nova Esquerra de l'Eixample 
957,74,1,3,13,La Dreta de l'Eixample 
1178,75,2,3,16,La Nova Esquerra de l'Eixample 
2100,100,3,3,21,La Dreta de l'Eixample 
2500,120,2,3,21,La Dreta de l'Eixample 
1100,70,2,2,16,La Nova Esquerra de l'Eixample 
850,50,1,2,17,La Nova Esquerra de l'Eixample 
1350,90,1,3,15,La Nova Esquerra de l'Eixample 
700,45,1,1,16,La Dreta de l'Eixample 
1100,60,1,2,18,La Dreta de l'Eixample 
1150,59,2,2,19,La Sagrada Família 
1190,100,2,4,12,L'Antiga Esquerra de l'Eixample 
1150,60,1,2,19,La Dreta de l'Eixample 
1000,100,2,4,10,La Sagrada Família 
870,59,1,1,15,La Nova Esquerra de l'Eixample 
1300,65,1,2,20,La Nova Esquerra de l'Eixample 
1000,50,1,2,20,La Sagrada Família 
1850,102,2,4,18,L'Antiga Esquerra de l'Eixample 
1775,148,2,3,12,L'Antiga Esquerra de l'Eixample 
5500,252,3,4,22,La Dreta de l'Eixample 
1000,93,1,3,11,La Sagrada Família 
1000,90,2,4,11,El Fort Pienc 
2850,185,3,3,15,La Dreta de l'Eixample 
3850,235,4,3,16,La Dreta de l'Eixample 
1500,120,2,2,13,L'Antiga Esquerra de l'Eixample 
1200,75,1,3,16,L'Antiga Esquerra de l'Eixample 
8000,350,4,4,23,La Dreta de l'Eixample 
1400,95,2,3,15,La Sagrada Família 
750,38,1,2,20,La Nova Esquerra de l'Eixample 
990,54,1,2,18,La Sagrada Família 
950,63,1,2,15,La Nova Esquerra de l'Eixample 
2200,123,2,3,18,L'Antiga Esquerra de l'Eixample 
3000,170,2,2,18,La Dreta de l'Eixample 
700,25,1,1,28,Sant Antoni 
1500,80,2,3,19,Sant Antoni 
975,70,1,3,14,La Nova Esquerra de l'Eixample 
895,77,1,3,12,L'Antiga Esquerra de l'Eixample 
1700,90,2,2,19,La Dreta de l'Eixample 
1450,95,3,4,15,La Dreta de l'Eixample 
950,70,1,2,14,La Nova Esquerra de l'Eixample 
1000,68,1,3,15,La Nova Esquerra de l'Eixample 
1150,60,1,1,19,La Dreta de l'Eixample 
1200,70,1,2,17,La Nova Esquerra de l'Eixample 
1725,153,3,4,11,La Dreta de l'Eixample 
1600,65,1,1,25,La Dreta de l'Eixample 
1450,85,2,4,17,La Nova Esquerra de l'Eixample 
1900,90,2,3,21,La Nova Esquerra de l'Eixample 
2450,200,2,4,12,La Dreta de l'Eixample 
3300,120,2,2,28,La Dreta de l'Eixample 
3200,290,4,5,11,La Dreta de l'Eixample 
1040,85,1,3,12,L'Antiga Esquerra de l'Eixample 
925,90,2,4,10,L'Antiga Esquerra de l'Eixample 
1550,90,2,2,17,La Sagrada Família 
930,70,1,3,13,La Nova Esquerra de l'Eixample 
1500,115,2,3,13,L'Antiga Esquerra de l'Eixample 
1700,65,1,1,26,La Dreta de l'Eixample 
4900,230,3,4,21,La Dreta de l'Eixample 
2310,65,1,2,36,La Dreta de l'Eixample 
1675,100,2,3,17,La Dreta de l'Eixample 
1200,50,1,1,24,L'Antiga Esquerra de l'Eixample 
1100,80,2,2,14,La Dreta de l'Eixample 
2200,104,2,3,21,La Dreta de l'Eixample 
1000,78,2,4,13,La Sagrada Família 
1800,65,2,2,28,La Dreta de l'Eixample 
1100,90,2,3,12,El Fort Pienc 
900,64,1,2,14,L'Antiga Esquerra de l'Eixample 
1950,138,2,4,14,La Dreta de l'Eixample 
1350,120,1,3,11,La Nova Esquerra de l'Eixample 
999,75,1,3,13,L'Antiga Esquerra de l'Eixample 
950,60,1,2,16,La Sagrada Família 
675,50,1,1,14,El Fort Pienc 
1450,80,1,2,18,La Dreta de l'Eixample 
2300,100,2,3,23,Sant Antoni 
950,70,1,1,14,Sant Antoni 
1500,114,2,4,13,L'Antiga Esquerra de l'Eixample 
1700,140,2,4,12,La Dreta de l'Eixample 
995,90,1,3,11,L'Antiga Esquerra de l'Eixample 
1750,85,1,2,21,La Dreta de l'Eixample 
1100,64,1,2,17,La Nova Esquerra de l'Eixample 
1150,71,2,3,16,Sant Antoni 
1300,54,1,1,24,La Dreta de l'Eixample 
1050,50,1,2,21,La Nova Esquerra de l'Eixample 
1100,103,1,2,11,La Dreta de l'Eixample 
950,83,1,3,11,La Sagrada Família 
950,65,1,2,15,La Nova Esquerra de l'Eixample 
929,70,1,1,13,L'Antiga Esquerra de l'Eixample 
1320,45,1,1,29,La Sagrada Família 
950,80,2,3,12,La Nova Esquerra de l'Eixample 
2750,203,2,3,14,La Dreta de l'Eixample 
1130,108,2,4,10,La Nova Esquerra de l'Eixample 
650,42,1,1,15,La Nova Esquerra de l'Eixample 
2676,153,3,4,17,La Dreta de l'Eixample 
989,90,1,3,11,L'Antiga Esquerra de l'Eixample 
1800,106,2,3,17,La Dreta de l'Eixample 
1400,80,2,3,18,L'Antiga Esquerra de l'Eixample 
1100,79,1,3,14,L'Antiga Esquerra de l'Eixample 
1950,130,2,3,15,L'Antiga Esquerra de l'Eixample 
1450,101,2,3,14,L'Antiga Esquerra de l'Eixample 
700,50,1,3,14,Sant Antoni 
1000,68,1,1,15,El Fort Pienc 
1900,140,2,3,14,La Dreta de l'Eixample 
1500,80,2,3,19,El Fort Pienc 
750,35,1,1,21,La Nova Esquerra de l'Eixample 
1200,76,1,2,16,La Dreta de l'Eixample 
1200,105,2,3,11,L'Antiga Esquerra de l'Eixample 
1250,119,2,3,11,La Dreta de l'Eixample 
2950,180,2,4,16,La Dreta de l'Eixample 
1100,80,1,3,14,Sant Antoni 
1350,56,2,2,24,La Dreta de l'Eixample 
1900,110,1,4,17,La Dreta de l'Eixample 
850,51,1,1,17,La Sagrada Família 
980,75,1,3,13,La Dreta de l'Eixample 
1400,93,2,3,15,El Fort Pienc 
1300,66,1,2,20,La Nova Esquerra de l'Eixample 
1800,110,1,2,16,La Dreta de l'Eixample 
1200,65,1,1,18,Sant Antoni 
790,50,1,1,16,La Nova Esquerra de l'Eixample 
1000,64,1,2,16,L'Antiga Esquerra de l'Eixample 
2500,225,4,4,11,La Dreta de l'Eixample 
1890,140,2,4,14,La Dreta de l'Eixample 
1200,90,2,3,13,La Dreta de l'Eixample 
1300,85,2,3,15,La Sagrada Família 
1250,58,2,2,22,El Fort Pienc 
2900,140,3,3,21,L'Antiga Esquerra de l'Eixample 
3000,180,2,3,17,La Dreta de l'Eixample 
1100,70,1,2,16,La Nova Esquerra de l'Eixample 
1300,85,1,2,15,L'Antiga Esquerra de l'Eixample 
3800,140,2,4,27,La Dreta de l'Eixample 
1450,60,1,2,24,La Sagrada Família 
1000,70,1,2,14,La Dreta de l'Eixample 
1100,78,1,2,14,La Sagrada Família 
1150,90,2,3,13,La Dreta de l'Eixample 
650,35,1,1,19,La Sagrada Família 
1000,45,1,2,22,La Sagrada Família 
1200,140,2,4,9,La Nova Esquerra de l'Eixample 
2300,70,1,1,33,La Nova Esquerra de l'Eixample 
1590,120,2,3,13,L'Antiga Esquerra de l'Eixample 
1000,84,1,3,12,Sant Antoni 
1130,125,2,4,9,La Nova Esquerra de l'Eixample 
950,58,1,2,16,La Dreta de l'Eixample 
1250,100,1,3,13,La Nova Esquerra de l'Eixample 
2250,135,3,4,17,L'Antiga Esquerra de l'Eixample 
2200,141,3,3,16,La Dreta de l'Eixample 
1450,60,1,2,24,La Dreta de l'Eixample 
1800,102,2,3,18,La Dreta de l'Eixample 
1930,139,2,4,14,La Dreta de l'Eixample 
995,56,1,3,18,L'Antiga Esquerra de l'Eixample 
1250,79,2,3,16,L'Antiga Esquerra de l'Eixample 
1550,109,2,3,14,L'Antiga Esquerra de l'Eixample 
900,61,1,1,15,La Dreta de l'Eixample 
1500,67,1,2,22,La Dreta de l'Eixample 
890,70,1,3,13,La Sagrada Família 
950,35,1,1,27,La Nova Esquerra de l'Eixample 
2000,202,3,4,10,L'Antiga Esquerra de l'Eixample 
1125,91,2,4,12,La Sagrada Família 
2000,120,2,3,17,L'Antiga Esquerra de l'Eixample 
2200,90,2,2,24,La Dreta de l'Eixample 
2900,120,2,3,24,L'Antiga Esquerra de l'Eixample 
1600,85,1,2,19,Sant Antoni 
2500,180,3,2,14,L'Antiga Esquerra de l'Eixample 
2100,100,2,3,21,La Dreta de l'Eixample 
750,55,1,1,14,El Fort Pienc 
950,70,1,3,14,La Dreta de l'Eixample 
1650,100,2,3,17,Sant Antoni 
1850,86,1,3,22,El Fort Pienc 
