precio,superficie,baños,habitaciones,precio/metro,Barrio
2.950,130,2,2,23,La Dreta de l'Eixample 
1.800,105,1,2,17,La Dreta de l'Eixample 
945,72,1,3,13,Sant Antoni 
1.100,30,1,2,37,La Nova Esquerra de l'Eixample 
1.150,98,2,4,12,L'Antiga Esquerra de l'Eixample 
1.459,53,2,2,28,La Dreta de l'Eixample 
1.100,50,1,1,22,L'Antiga Esquerra de l'Eixample 
1.300,115,2,4,11,La Dreta de l'Eixample 
1.600,80,2,2,20,La Dreta de l'Eixample 
1.350,100,2,4,14,L'Antiga Esquerra de l'Eixample 
1.250,85,2,4,15,La Nova Esquerra de l'Eixample 
1.150,83,2,3,14,La Sagrada Família 
850,56,1,2,15,La Sagrada Família 
1.500,80,2,3,19,La Nova Esquerra de l'Eixample 
1.000,40,1,1,25,La Sagrada Família 
2.450,156,2,4,16,La Dreta de l'Eixample 
2.500,80,1,1,31,La Dreta de l'Eixample 
1.650,112,2,4,15,La Nova Esquerra de l'Eixample 
1.300,80,1,2,16,L'Antiga Esquerra de l'Eixample 
1.000,80,1,4,13,Eixample (Barcelona Capital)
2.250,90,2,2,25,La Dreta de l'Eixample 
1.500,60,1,2,25,La Dreta de l'Eixample 
1.350,85,2,2,16,El Fort Pienc 
1.290,77,2,3,17,La Sagrada Família 
1.150,107,2,4,11,El Fort Pienc 
2.000,139,2,5,14,La Dreta de l'Eixample 
1.100,95,1,2,12,L'Antiga Esquerra de l'Eixample 
1.100,85,2,4,13,La Sagrada Família 
1.150,79,1,3,15,La Nova Esquerra de l'Eixample 
1.760,130,2,4,14,Sant Antoni 
1.590,85,2,2,19,La Dreta de l'Eixample 
1.200,106,2,4,11,El Fort Pienc 
1.195,100,2,4,12,La Nova Esquerra de l'Eixample 
1.100,110,2,4,10,La Sagrada Família 
1.600,65,1,1,25,La Dreta de l'Eixample 
1.200,107,2,4,11,La Nova Esquerra de l'Eixample 
850,50,1,1,17,La Sagrada Família 
1.650,89,2,2,19,La Dreta de l'Eixample 
1.000,92,1,1,11,La Dreta de l'Eixample 
1.500,90,2,4,17,El Fort Pienc 
2.500,120,2,4,21,Sant Antoni 
1.050,92,2,3,11,El Fort Pienc 
2.000,135,3,3,15,La Dreta de l'Eixample 
1.300,60,1,2,22,La Dreta de l'Eixample 
1.650,112,2,3,15,La Nova Esquerra de l'Eixample 
2.500,110,2,2,23,La Dreta de l'Eixample 
1.000,86,1,3,12,La Dreta de l'Eixample 
820,63,1,3,13,Sant Antoni 
975,55,1,1,18,La Dreta de l'Eixample 
1.290,88,2,3,15,L'Antiga Esquerra de l'Eixample 
1.400,77,1,1,18,La Dreta de l'Eixample 
850,67,1,2,13,La Nova Esquerra de l'Eixample 
900,55,1,1,16,L'Antiga Esquerra de l'Eixample 
2.500,180,2,4,14,La Dreta de l'Eixample 
2.650,90,2,2,29,La Dreta de l'Eixample 
1.300,140,3,2,9,La Sagrada Família 
1.290,60,1,2,22,L'Antiga Esquerra de l'Eixample 
1.150,120,1,3,10,La Nova Esquerra de l'Eixample 
1.200,110,2,4,11,La Nova Esquerra de l'Eixample 
850,55,1,2,15,Sant Antoni 
950,35,1,1,27,La Nova Esquerra de l'Eixample 
1.450,130,2,5,11,Sant Antoni 
850,75,1,2,11,La Sagrada Família 
1.930,100,2,3,19,Sant Antoni 
1.340,100,2,2,13,Sant Antoni 
1.050,90,1,4,12,La Sagrada Família 
850,40,1,2,21,La Nova Esquerra de l'Eixample 
1.700,81,1,3,21,La Sagrada Família 
1.300,51,1,2,25,La Nova Esquerra de l'Eixample 
1.700,65,1,1,26,La Dreta de l'Eixample 
930,66,1,3,14,Sant Antoni 
1.750,172,2,4,10,La Nova Esquerra de l'Eixample 
1.140,40,1,1,29,La Dreta de l'Eixample 
1.170,81,1,3,14,La Nova Esquerra de l'Eixample 
650,35,1,1,19,La Dreta de l'Eixample 
1.300,90,1,3,14,Sant Antoni 
1.150,65,2,3,18,El Fort Pienc 
1.600,75,1,2,21,L'Antiga Esquerra de l'Eixample 
1.400,70,1,2,20,La Dreta de l'Eixample 
2.850,130,3,3,22,La Dreta de l'Eixample 
1.250,98,2,3,13,La Nova Esquerra de l'Eixample 
957,74,1,3,13,La Dreta de l'Eixample 
1.178,75,2,3,16,La Nova Esquerra de l'Eixample 
