precio,superficie,baños,habitaciones,precio/metro,Barrio
1.732,73,1,2,24,El Barri Gòtic 
1.350,62,1,2,22,El Barri Gòtic 
700,45,1,1,16,El Barri Gòtic 
490,38,1,1,13,El Raval 
3.400,65,1,2,52,El Barri Gòtic 
880,55,1,3,16,Sant Pere-Santa Caterina-La Ribera 
700,45,1,1,16,Sant Pere-Santa Caterina-La Ribera 
650,30,1,1,22,El Raval 
650,50,1,1,13,Sant Pere-Santa Caterina-La Ribera 
790,65,1,3,12,Sant Pere-Santa Caterina-La Ribera 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
850,68,1,2,13,El Raval 
760,48,1,1,16,El Barri Gòtic 
1.050,80,1,3,13,Sant Pere-Santa Caterina-La Ribera 
700,39,1,1,18,Sant Pere-Santa Caterina-La Ribera 
850,60,1,1,14,El Barri Gòtic 
750,45,1,2,17,El Barri Gòtic 
2.500,100,3,2,25,Sant Pere-Santa Caterina-La Ribera 
650,30,1,1,22,El Raval 
1.200,70,2,3,17,Sant Pere-Santa Caterina-La Ribera 
850,68,1,2,13,El Raval 
900,70,1,2,13,El Raval 
700,40,1,1,18,El Barri Gòtic 
750,40,1,1,19,El Barri Gòtic 
600,33,1,1,18,La Barceloneta 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
850,68,1,2,13,El Raval 
990,75,1,2,13,Sant Pere-Santa Caterina-La Ribera 
1.500,104,1,1,14,El Barri Gòtic 
990,59,1,1,17,El Raval 
1.170,62,1,1,19,El Barri Gòtic 
790,65,1,3,12,Sant Pere-Santa Caterina-La Ribera 
1.200,65,1,1,18,La Barceloneta 
975,55,1,2,18,La Barceloneta 
540,24,1,1,23,El Raval 
900,75,1,2,12,El Raval 
660,45,1,1,15,La Barceloneta 
900,55,1,2,16,Sant Pere-Santa Caterina-La Ribera 
1.600,80,2,2,20,Sant Pere-Santa Caterina-La Ribera 
590,33,1,1,18,El Barri Gòtic 
1.100,65,1,1,17,Sant Pere-Santa Caterina-La Ribera 
850,40,1,1,21,Sant Pere-Santa Caterina-La Ribera 
1.000,60,1,2,17,Sant Pere-Santa Caterina-La Ribera 
690,37,1,1,19,Sant Pere-Santa Caterina-La Ribera 
690,35,1,1,20,El Raval 
1.800,75,1,1,24,El Barri Gòtic 
2.300,147,3,4,16,Sant Pere-Santa Caterina-La Ribera 
900,70,1,2,13,El Barri Gòtic 
625,45,1,2,14,Sant Pere-Santa Caterina-La Ribera 
1.050,50,1,2,21,Sant Pere-Santa Caterina-La Ribera 
990,75,1,2,13,Sant Pere-Santa Caterina-La Ribera 
1.500,80,3,3,19,Sant Pere-Santa Caterina-La Ribera 
800,50,1,1,16,El Raval 
650,30,1,1,22,El Raval 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
1.300,92,1,3,14,Sant Pere-Santa Caterina-La Ribera 
500,27,1,1,19,El Raval 
