precio,superficie,baños,habitaciones,precio/metro,Barrio
1.750,140,3,5,13,Sant Gervasi-Galvany 
1.900,120,2,3,16,Sant Gervasi-La Bonanova 
4.900,374,5,5,13,Sant Gervasi-La Bonanova 
800,55,1,2,15,Sant Gervasi-Galvany 
2.300,120,2,3,19,Sant Gervasi-Galvany 
3.500,220,4,5,16,Les Tres Torres 
1.080,105,2,4,10,El Putxet-El Farró 
1.100,65,2,2,17,Sant Gervasi-Galvany 
1.812,60,1,1,30,Sarrià 
1.050,82,2,3,13,El Putxet-El Farró 
3.300,190,4,5,17,Sarrià 
1.800,110,1,3,16,Sarrià 
900,60,1,1,15,El Putxet-El Farró 
1.500,120,2,4,13,Sant Gervasi-La Bonanova 
975,90,2,3,11,El Putxet-El Farró 
1.200,75,2,3,16,Sant Gervasi-Galvany 
900,75,1,4,12,Sant Gervasi-La Bonanova 
2.886,115,2,3,25,Sarrià 
1.100,80,1,2,14,Sarrià 
3.500,140,3,2,25,Sarrià 
775,44,1,1,18,El Putxet-El Farró 
1.200,45,1,1,27,Sarrià 
950,70,1,2,14,Sant Gervasi-Galvany 
1.800,167,3,4,11,Sarrià 
930,50,1,1,19,El Putxet-El Farró 
820,42,1,1,20,El Putxet-El Farró 
2.100,162,3,4,13,Sant Gervasi-Galvany 
1.900,140,3,3,14,Les Tres Torres 
875,81,1,3,11,Sarrià 
1.100,89,1,2,12,El Putxet-El Farró 
1.950,95,2,2,21,Sarrià 
2.700,180,3,3,15,Sant Gervasi-Galvany 
830,70,1,1,12,El Putxet-El Farró 
1.100,80,1,3,14,Sant Gervasi-La Bonanova 
2.500,140,2,3,18,Sant Gervasi-Galvany 
2.490,150,3,4,17,Les Tres Torres 
800,53,1,2,15,Sant Gervasi-Galvany 
1.500,107,2,4,14,Sant Gervasi-Galvany 
1.200,65,1,1,18,Sarrià 
1.400,75,1,2,19,Les Tres Torres 
1.100,55,1,2,20,Sant Gervasi-Galvany 
1.600,137,2,4,12,Sant Gervasi-Galvany 
1.150,80,2,3,14,El Putxet-El Farró 
1.050,64,1,2,16,Sant Gervasi-Galvany 
800,65,1,2,12,Sant Gervasi-La Bonanova 
5.300,225,6,4,24,Sant Gervasi-La Bonanova 
950,55,1,2,17,Sarrià 
5.300,280,4,6,19,Sant Gervasi-Galvany 
1.200,96,2,2,13,Sant Gervasi-Galvany 
1.600,58,1,2,28,Sant Gervasi-Galvany 
1.250,90,1,2,14,Sant Gervasi-Galvany 
2.400,195,2,4,12,Sant Gervasi-La Bonanova 
3.365,138,3,4,24,Les Tres Torres 
1.300,73,2,2,18,Sant Gervasi-Galvany 
1.200,115,2,4,10,El Putxet-El Farró 
3.200,168,3,4,19,Sant Gervasi-Galvany 
1.950,130,2,3,15,Sarrià 
2.100,86,1,3,24,Sant Gervasi-Galvany 
1.100,93,1,2,12,El Putxet-El Farró 
1.100,93,1,2,12,Sant Gervasi-La Bonanova 
900,54,1,1,17,El Putxet-El Farró 
1.500,130,1,1,12,Sant Gervasi-La Bonanova 
1.200,63,1,3,19,Sant Gervasi-Galvany 
1.500,118,2,4,13,Sant Gervasi-Galvany 
2.850,140,2,3,20,Sarrià 
1.600,57,1,2,28,Sant Gervasi-Galvany 
900,41,1,1,22,Sarrià 
1.200,75,1,2,16,Sarrià 
750,40,1,1,19,El Putxet-El Farró 
2.000,114,2,4,18,Sant Gervasi-Galvany 
4.500,256,3,4,18,Sant Gervasi-La Bonanova 
4.500,220,4,4,20,Sant Gervasi-Galvany 
2.420,102,2,2,24,Sant Gervasi-La Bonanova 
1.050,64,1,2,16,Sant Gervasi-Galvany 
995,66,1,2,15,Sarrià 
1.550,80,1,3,19,Sant Gervasi-Galvany 
1.050,67,1,2,16,Sant Gervasi-Galvany 
4.950,374,5,5,13,Les Tres Torres 
3.972,274,4,5,14,Sant Gervasi-Galvany 
3.085,183,3,4,17,Sant Gervasi-La Bonanova 
