precio,superficie,baños,habitaciones,precio/metro,Barrio
1.250,78,1,2,16,Diagonal Mar-El Front Marítim del Poblenou 
690,70,1,3,10,El Besòs-El Maresme 
1.460,74,2,3,20,Diagonal Mar-El Front Marítim del Poblenou 
750,45,1,3,17,El Camp de l'Arpa del Clot 
2.380,151,2,2,16,Diagonal Mar-El Front Marítim del Poblenou 
9.000,248,3,4,36,Diagonal Mar-El Front Marítim del Poblenou 
995,95,1,3,10,El Besòs-El Maresme 
890,78,1,3,11,Provençals del Poblenou 
935,87,1,2,11,Provençals del Poblenou 
2.200,125,2,4,18,El Poblenou 
900,63,1,3,14,El Camp de l'Arpa del Clot 
1.100,109,2,4,10,El Clot 
1.100,90,2,4,12,El Clot 
1.650,92,2,2,18,El Besòs-El Maresme 
1.700,110,2,3,15,El Camp de l'Arpa del Clot 
1.400,80,2,3,18,Provençals del Poblenou 
1.026,53,1,2,19,Provençals del Poblenou 
3.900,113,2,3,35,El Parc-La Llacuna del Poblenou 
1.175,61,1,3,19,El Poblenou 
1.300,64,1,1,20,El Parc-La Llacuna del Poblenou 
1.150,97,2,4,12,El Clot 
860,87,1,3,10,El Clot 
1.245,100,1,3,12,El Camp de l'Arpa del Clot 
6.500,120,2,3,54,Diagonal Mar-El Front Marítim del Poblenou 
950,84,1,4,11,El Camp de l'Arpa del Clot 
1.180,75,2,4,16,La Vila Olímpica del Poblenou 
1.000,90,2,4,11,El Clot 
6.000,230,2,4,26,Diagonal Mar-El Front Marítim del Poblenou 
1.600,112,2,3,14,El Besòs-El Maresme 
2.400,100,2,3,24,Diagonal Mar-El Front Marítim del Poblenou 
1.200,60,1,2,20,La Vila Olímpica del Poblenou 
1.000,55,1,1,18,El Poblenou 
1.000,100,2,3,10,El Parc-La Llacuna del Poblenou 
2.600,169,1,2,15,El Poblenou 
1.900,85,2,2,22,El Poblenou 
900,60,1,2,15,El Poblenou 
2.250,80,2,2,28,Provençals del Poblenou 
1.500,90,2,4,17,Diagonal Mar-El Front Marítim del Poblenou 
1.150,95,2,4,12,El Parc-La Llacuna del Poblenou 
1.300,87,2,2,15,El Parc-La Llacuna del Poblenou 
2.520,193,2,3,13,El Parc-La Llacuna del Poblenou 
1.980,85,1,2,23,Diagonal Mar-El Front Marítim del Poblenou 
4.500,230,2,4,20,Diagonal Mar-El Front Marítim del Poblenou 
850,65,1,3,13,La Verneda-La Pau 
2.150,170,2,4,13,La Vila Olímpica del Poblenou 
3.500,160,2,3,22,La Vila Olímpica del Poblenou 
780,90,1,3,9,Provençals del Poblenou 
1.300,100,1,3,13,El Camp de l'Arpa del Clot 
2.300,140,2,2,16,Diagonal Mar-El Front Marítim del Poblenou 
950,70,1,4,14,El Clot 
750,65,2,2,12,El Camp de l'Arpa del Clot 
1.026,60,1,3,17,Provençals del Poblenou 
