precio,superficie,baños,habitaciones,precio/metro,Barrio
850,65,1,2,13,Les Corts 
1100,60,1,1,18,Les Corts 
985,62,1,2,16,Les Corts 
1520,107,2,3,14,Les Corts 
1190,57,1,1,21,Pedralbes 
1150,91,2,4,13,Les Corts 
850,42,1,2,20,Les Corts 
790,55,1,3,14,La Maternitat-Sant Ramon 
900,93,1,1,10,La Maternitat-Sant Ramon 
1100,79,1,2,14,Les Corts 
1900,125,3,3,15,Pedralbes 
3400,143,2,3,24,Pedralbes 
1375,106,2,3,13,Pedralbes 
1300,55,1,2,24,La Maternitat-Sant Ramon 
990,75,1,2,13,Les Corts 
1290,95,2,3,14,La Maternitat-Sant Ramon 
795,51,1,1,16,Les Corts 
790,97,2,2,8,Les Corts 
1650,110,2,3,15,Les Corts 
1250,110,1,4,11,Les Corts 
1300,107,1,4,12,La Maternitat-Sant Ramon 
1150,98,1,3,12,Les Corts 
800,69,1,4,12,La Maternitat-Sant Ramon 
1100,55,1,2,20,Pedralbes 
1500,90,2,4,17,Les Corts 
1000,95,1,3,11,Pedralbes 
1450,180,2,5,8,La Maternitat-Sant Ramon 
1100,60,1,1,18,Les Corts 
1600,128,3,4,13,La Maternitat-Sant Ramon 
700,46,1,2,15,La Maternitat-Sant Ramon 
1900,128,2,4,15,Pedralbes 
3000,233,3,5,13,Les Corts 
2100,150,2,4,14,Les Corts 
1980,127,2,3,16,Les Corts 
990,55,1,2,18,Les Corts 
1300,90,2,3,14,Les Corts 
950,90,2,4,11,La Maternitat-Sant Ramon 
1450,135,2,4,11,La Maternitat-Sant Ramon 
1069,70,1,2,15,Les Corts 
1450,81,1,4,18,La Maternitat-Sant Ramon 
1000,90,2,3,11,La Maternitat-Sant Ramon 
1550,144,2,3,11,Les Corts 
5000,350,4,3,14,La Maternitat-Sant Ramon 
900,35,1,1,26,La Maternitat-Sant Ramon 
1190,65,1,1,18,Pedralbes 
899,69,1,4,13,La Maternitat-Sant Ramon 
3200,250,3,4,13,Pedralbes 
890,66,1,3,13,La Maternitat-Sant Ramon 
2250,130,2,3,17,Pedralbes 
1200,98,2,4,12,La Maternitat-Sant Ramon 
3600,248,4,4,15,Pedralbes 
800,45,1,1,18,La Maternitat-Sant Ramon 
1820,157,2,4,12,Pedralbes 
1100,60,1,2,18,Les Corts 
1700,90,1,2,19,Pedralbes 
900,81,1,3,11,Les Corts 
1200,91,2,4,13,Les Corts 
14000,1577,6,7,9,Pedralbes 
1290,100,2,4,13,Les Corts 
1200,96,2,2,13,La Maternitat-Sant Ramon 
1150,102,2,3,11,La Maternitat-Sant Ramon 
1500,105,2,4,14,Les Corts 
1325,96,2,2,14,La Maternitat-Sant Ramon 
870,75,1,3,12,Les Corts 
1272,63,1,2,20,Pedralbes 
2950,250,3,5,12,Les Corts 
1350,90,2,3,15,Les Corts 
2500,150,3,4,17,Les Corts 
750,52,1,1,14,Les Corts 
800,53,1,1,15,Les Corts 
2900,190,3,4,15,Les Corts 
990,72,2,4,14,La Maternitat-Sant Ramon 
1050,97,2,3,11,La Maternitat-Sant Ramon 
900,74,1,3,12,La Maternitat-Sant Ramon 
900,80,2,2,11,Les Corts 
2000,125,2,3,16,Les Corts 
850,68,1,2,13,Les Corts 
3731,132,3,4,28,Pedralbes 
622,40,1,1,16,La Maternitat-Sant Ramon 
