superficie;habitaciones;baños;Precio
39;4;1;850
40;1;1;1.100
110;2;2;650
50;4;1;850
70;4;1;1.050
74;2;2;1.400
135;1;2;1.200
70;3;2;950
55;2;1;2.500
83;1;2;800
42;3;1;800
44;2;1;1.150
85;1;1;770
90;1;2;550
40;2;1;980
50;2;1;1.000
95;1;2;700
69;1;2;850
77;3;1;2.750
42;2;1;1.150
80;3;1;1.400
65;3;1;899
69;1;2;900
80;6;2;1.160
46;3;1;1.150
230;2;3;950
75;2;1;700
122;4;2;2.675
45;2;1;850
80;3;2;2.400
65;4;1;700
75;3;1;1.220
230;2;3;1.100
64;2;1;889
80;3;2;4.900
100;3;2;1.000
379;4;2;1.600
58;3;1;1.744
102;2;2;2.200
74;3;1;800
103;2;1;1.850
126;4;2;900
90;3;2;1.100
120;2;2;1.750
80;3;1;1.000
96;4;2;1.300
81;4;1;1.700
162;2;2;1.100
105;3;2;900
155;4;2;2.400
146;5;2;1.100
172;1;2;1.790
259;3;3;3.900
50;3;1;1.750
74;3;1;3.600
66;4;1;1.200
92;2;2;957
107;2;2;900
65;3;1;1.000
65;1;2;1.150
77;1;2;1.000
86;3;1;850
36;2;1;1.560
84;2;1;1.075
70;7;1;700
61;2;1;1.087
700;3;6;950
46;3;1;950
64;3;1;A consultar
45;4;1;850
90;2;2;850
67;3;1;750
75;2;1;1.200
60;4;1;950
98;1;2;1.400
200;4;3;875
80;2;1;1.700
150;5;2;2.060
75;2;1;1.400
195;2;2;2.900
62;3;1;1.300
70;2;1;1.850
63;3;1;1.100
77;3;2;1.140
75;2;1;820
80;7;2;950
90;3;2;1.200
202;3;2;990
88;3;1;2.200
78;3;1;2.300
70;2;1;975
81;1;1;900
73;3;2;1.100
53;2;1;925
75;3;1;887
120;2;2;900
60;2;1;1.900
105;3;2;700
61;3;1;1.290
75;1;1;1.300
70;2;1;1.150
60;3;1;1.000
53;5;1;825
88;4;2;800
180;3;3;1.026
61;3;1;1.850
180;3;2;5.800
123;2;2;825
63;3;1;3.900
72;3;1;2.200
119;7;2;750
62;2;1;800
153;2;2;1.600
75;3;2;995
75;3;1;2.300
64;3;2;1.250
68;2;1;780
80;2;1;900
100;1;3;860
101;5;1;870
56;1;1;2.500
144;1;2;1.450
55;1;1;1.000
45;2;1;1.550
57;3;2;790
57;3;1;700
139;1;2;1.100
130;1;2;1.090
40;5;1;2.400
25;4;1;1.690
410;3;3;795
220;1;4;500
90;3;2;5.800
35;3;1;4.500
80;3;1;1.200
93;2;1;780
80;3;1;1.400
100;3;1;1.000
57;3;1;1.550
136;2;3;1.375
82;3;1;830
85;3;2;3.500
81;3;1;800
114;3;2;1.500
157;2;2;950
135;2;2;1.200
88;3;1;2.990
58;2;1;1.338
96;1;1;1.760
67;3;1;800
50;2;1;900
130;3;3;850
102;3;2;950
75;2;1;2.850
60;2;1;2.420
70;3;1;1.000
70;3;1;1.100
65;1;1;1.390
80;2;2;1.000
50;2;1;990
70;3;1;1.560
130;1;2;890
81;1;1;900
48;1;1;1.650
50;3;1;920
30;3;1;650
70;2;1;585
66;5;1;650
85;4;1;860
132;4;2;850
140;2;2;1.200
91;3;2;1.550
100;5;2;1.475
80;2;1;1.125
338;3;4;1.950
70;3;1;1.550
67;3;1;3.600
85;2;2;1.300
80;1;2;1.100
75;3;1;1.700
55;5;1;1.100
65;3;1;1.500
144;2;2;750
80;2;1;825
70;2;1;1.550
120;2;2;1.200
73;1;1;1.600
55;1;1;1.700
45;3;1;1.000
45;3;1;700
158;3;2;650
64;2;1;700
126;3;2;2.500
50;2;1;800
200;2;3;1.850
119;2;2;900
70;3;1;2.990
85;1;2;1.900
90;2;2;1.250
35;6;1;1.400
40;2;1;2.000
170;2;3;675
85;3;1;800
60;2;1;975
80;3;3;1.200
62;2;1;995
85;1;2;1.500
68;4;1;900
32;1;1;1.500
137;2;1;850
50;4;1;575
50;2;1;1.300
90;5;1;1.170
67;3;1;1.350
130;1;2;1.050
79;1;2;890
40;1;1;1.450
50;4;1;1.250
29;3;1;688
75;2;1;850
87;3;2;600
60;2;1;1.000
100;1;2;1.200
90;3;2;790
85;2;1;1.050
147;2;2;1.800
130;3;2;1.800
63;4;1;1.090
76;4;1;2.380
200;3;2;1.050
115;1;2;1.198
90;2;2;2.450
50;5;1;1.200
56;5;1;1.100
285;2;4;850
179;2;3;700
62;1;1;3.850
80;3;1;2.850
35;3;1;1.700
82;3;1;770
169;1;2;900
59;4;1;950
55;2;1;2.200
115;4;2;900
85;2;1;995
70;3;1;1.500
65;2;1;1.800
78;4;1;950
59;1;1;650
115;2;2;750
60;2;1;550
73;1;1;1.500
82;3;2;1.100
88;4;1;1.100
95;2;2;1.150
82;1;2;1.500
50;3;1;2.000
38;3;1;1.050
130;4;2;1.050
85;3;2;750
181;1;2;1.600
78;3;1;1.400
48;1;1;2.500
80;2;1;980
50;3;1;1.000
52;2;1;984
112;4;2;700
100;2;2;850
195;3;2;1.890
65;3;1;1.650
110;4;2;2.400
89;2;1;1.100
110;3;2;1.650
62;3;1;750
148;4;2;1.170
175;2;3;900
120;2;2;2.200
50;3;1;3.550
59;3;1;1.400
86;3;2;690
75;2;1;850
79;3;1;1.075
60;4;1;900
100;1;2;1.100
125;2;2;820
65;2;1;1.450
64;2;1;1.200
65;3;1;1.300
90;2;2;1.100
80;2;1;1.400
85;3;1;1.700
70;2;1;1.290
65;3;1;1.100
96;3;2;1.350
95;4;2;790
58;3;1;1.275
108;1;1;1.300
116;4;2;900
37;2;1;1.300
150;2;2;3.115
106;3;2;667
48;4;1;1.200
59;3;1;2.500
120;4;2;1.760
65;3;1;950
82;2;2;1.500
84;2;1;850
47;2;1;990
70;1;1;950
62;1;2;1.100
55;2;1;1.200
45;4;1;800
184;3;3;775
84;3;2;875
64;3;2;3.490
70;3;1;1.267
75;1;1;765
148;2;2;700
45;2;1;1.000
50;1;1;1.210
32;4;1;700
75;1;2;1.863
70;3;1;750
78;3;2;960
70;2;1;900
65;1;1;1.200
70;3;1;825
75;1;1;750
64;1;2;850
40;3;1;1.800
38;3;1;1.136
85;1;2;525
68;4;2;780
75;1;1;1.400
85;3;1;1.100
60;1;1;1.300
74;4;1;1.230
30;4;1;1.100
114;3;2;1.280
95;3;2;620
126;1;2;1.225
167;5;2;1.500
55;2;1;1.300
144;3;2;1.590
50;2;1;850
100;3;2;1.550
65;4;2;950
91;2;2;1.370
140;3;2;1.400
59;3;1;1.200
63;1;1;1.200
95;4;2;800
53;4;1;700
80;1;1;1.400
50;5;1;1.190
179;3;2;1.220
160;1;3;800
80;1;1;2.750
39;2;1;2.750
45;2;1;1.100
44;3;1;675
70;4;1;750
56;5;1;890
140;2;3;950
60;1;1;1.500
50;4;1;1.300
95;3;2;750
89;2;2;880
71;2;1;1.100
50;3;1;1.050
67;1;1;890
75;1;1;800
40;4;1;890
57;2;1;900
98;3;1;850
100;3;2;935
100;3;2;925
63;4;2;1.475
150;2;2;1.200
120;3;2;1.400
78;1;2;3.500
170;1;2;1.650
55;1;1;1.490
50;3;1;1.800
40;2;1;770
95;2;2;700
128;4;2;744
66;1;2;1.100
132;2;3;1.700
52;1;1;1.000
45;1;1;3.731
56;2;1;847
67;2;1;750
73;3;1;720
57;1;1;1.100
57;2;1;1.700
65;3;1;690
55;1;1;920
75;3;1;700
68;2;1;800
110;3;2;790
55;1;1;1.100
74;3;1;1.400
50;3;1;1.100
112;1;2;935
116;4;2;700
65;4;1;1.300
250;3;6;950
45;1;1;590
136;2;2;5.300
55;2;1;1.210
58;3;1;3.000
80;2;2;829
84;1;1;1.600
80;4;1;1.100
70;3;2;1.150
95;3;2;1.108
75;3;1;725
50;3;1;1.200
93;1;2;850
80;3;2;700
45;3;1;1.600
85;3;2;1.500
115;3;2;690
149;2;2;1.700
91;2;2;1.500
95;2;1;3.400
62;1;1;1.500
64;1;2;1.100
60;2;1;940
68;2;1;1.130
65;5;1;1.100
55;3;1;1.400
274;3;3;950
90;2;1;950
92;2;1;3.300
60;3;1;1.190
56;4;1;1.490
72;2;1;1.000
110;2;2;800
74;1;1;915
50;1;1;1.250
38;1;1;825
53;2;1;1.250
40;3;1;875
76;2;2;925
105;2;2;650
51;3;1;1.200
70;3;1;1.160
96;2;2;1.300
50;5;1;900
52;2;1;2.100
167;1;3;700
75;3;1;1.300
70;2;1;2.500
65;3;2;850
58;2;1;830
73;2;1;1.000
69;1;1;750
62;4;1;990
40;2;1;650
73;1;1;1.290
54;2;1;622
40;3;1;1.150
48;3;1;850
198;4;2;775
94;3;2;698
125;2;3;2.250
62;1;1;980
57;4;1;1.700
78;2;1;933
139;1;3;870
77;1;1;950
46;3;1;1.400
42;4;1;1.000
80;2;2;780
93;3;1;740
55;2;1;920
250;3;3;1.250
79;3;1;700
62;1;1;3.000
111;3;2;950
65;1;1;900
160;2;2;3.500
55;4;1;1.200
100;1;1;1.980
85;1;2;820
44;4;1;1.000
99;3;1;1.300
90;3;2;685
73;3;1;895
90;3;2;1.700
72;3;1;1.090
140;3;3;1.360
60;2;1;1.150
147;2;2;1.500
77;5;2;725
65;1;1;1.500
180;3;1;1.350
55;3;1;1.100
151;3;2;1.890
84;4;1;750
150;1;2;1.600
114;1;2;1.050
40;1;1;2.750
40;3;1;1.358
35;2;1;600
106;2;1;700
53;5;1;650
76;4;1;1.090
142;1;2;725
110;4;1;1.300
93;5;1;2.500
108;4;2;1.300
130;2;2;900
80;1;1;1.200
55;2;1;1.250
42;1;1;900
123;1;2;900
50;2;1;650
45;3;1;720
59;2;1;800
77;6;2;1.210
50;2;1;770
250;4;2;890
55;3;1;775
105;3;2;3.300
117;3;3;950
70;1;2;1.300
102;3;2;2.010
80;3;1;1.000
140;4;3;1.400
130;3;2;2.500
90;1;2;2.900
85;5;2;2.100
80;3;1;1.200
200;2;2;1.400
78;2;1;1.600
80;1;1;2.400
140;2;3;1.950
45;2;1;950
74;3;1;1.300
80;2;1;900
106;3;2;780
50;5;1;1.000
55;3;1;1.800
232;4;2;1.050
160;4;3;880
150;2;3;2.600
45;4;1;2.490
75;3;1;700
80;3;2;750
56;4;1;780
67;2;1;1.200
102;3;2;660
90;3;2;1.000
70;4;1;1.380
150;5;2;1.600
100;4;2;690
127;4;3;2.850
180;1;2;1.500
145;4;2;1.650
65;2;1;1.990
116;2;2;1.950
62;4;2;1.200
115;2;1;1.000
55;3;1;1.500
55;5;1;1.800
120;4;2;825
54;2;1;950
100;2;2;660
58;1;1;850
65;2;1;2.600
40;2;1;950
45;2;1;1.700
78;2;1;950
85;4;2;730
57;3;1;850
91;2;2;1.600
150;3;2;950
69;4;1;1.200
95;2;1;2.600
104;3;2;870
47;1;2;1.300
73;3;1;1.220
59;2;1;1.100
95;4;1;1.100
79;3;1;870
170;2;2;1.750
80;1;2;950
75;2;1;2.100
75;2;1;1.500
68;2;1;1.500
59;3;2;1.150
78;2;2;1.100
100;1;2;2.000
97;2;2;890
92;3;2;990
100;1;2;990
100;2;2;900
50;1;1;2.400
68;1;1;1.550
62;4;1;900
61;3;1;916
144;3;3;890
120;3;2;1.499
118;2;1;2.500
91;3;1;1.290
70;1;2;1.100
95;2;2;800
40;2;1;920
77;1;2;1.000
62;2;1;600
42;1;1;1.625
57;2;1;900
45;2;1;700
87;3;2;800
30;5;1;750
106;4;2;890
177;3;3;1.100
116;3;2;1.500
67;3;1;2.750
66;4;1;2.100
75;2;1;885
110;2;2;930
106;2;1;900
63;2;1;1.300
75;3;1;1.050
64;1;1;750
102;4;2;900
55;4;1;950
140;47;2;1.600
107;2;2;824
86;2;1;1.700
60;2;1;1.500
75;1;1;995
63;2;1;1.000
37;3;1;800
120;3;2;570
77;1;1;690
75;2;1;1.500
39;2;1;900
75;3;1;999
66;3;1;700
126;4;3;945
75;3;1;1.300
80;3;1;2.070
55;3;1;1.150
108;2;2;1.200
99;4;2;900
70;2;1;1.400
262;4;4;1.257
82;1;2;2.000
80;2;2;2.700
30;3;1;2.400
72;3;1;950
113;4;2;750
95;1;2;1.250
127;4;2;1.443
50;1;1;1.200
190;2;3;1.600
46;6;1;795
80;1;1;2.900
214;2;2;650
32;3;1;1.000
60;2;1;4.900
64;3;1;650
57;4;1;1.000
75;1;1;750
96;4;2;840
54;3;1;1.099
167;3;3;1.250
85;1;2;1.000
60;3;2;2.150
86;3;1;1.400
75;2;2;950
70;1;1;1.000
59;2;1;1.150
55;2;1;800
80;1;1;675
85;1;1;1.200
45;2;1;980
55;3;1;1.990
55;4;1;800
95;2;2;900
325;3;2;800
88;3;1;2.000
74;1;1;10.000
171;3;2;1.760
55;3;1;810
53;3;1;2.850
101;2;2;800
91;1;2;750
70;4;2;1.450
50;3;1;899
120;2;2;925
93;2;1;950
68;4;1;1.900
77;3;1;1.135
200;4;3;850
100;3;1;1.290
157;3;2;3.000
85;2;2;1.250
120;3;2;1.880
60;2;1;1.400
150;2;2;1.900
75;2;1;1.400
70;2;1;1.590
63;3;1;1.300
50;1;1;1.200
78;3;1;800
37;3;1;1.000
117;2;2;1.050
85;3;2;850
46;4;1;1.300
85;3;1;970
90;3;2;700
87;1;1;1.100
120;3;1;1.075
43;3;1;990
176;2;3;1.350
120;2;2;1.000
60;4;1;2.000
65;4;1;1.950
120;3;2;900
75;3;1;850
70;2;1;1.250
66;2;1;900
61;3;1;900
80;2;1;890
93;1;2;680
79;2;1;900
75;2;1;1.250
60;3;1;1.700
100;1;1;990
131;3;2;1.200
75;1;1;900
77;4;1;1.250
38;4;1;1.100
146;3;3;945
130;3;3;990
72;4;1;1.700
60;2;1;2.000
140;3;2;1.250
80;3;1;875
90;2;2;1.200
85;2;1;1.200
96;1;2;1.100
95;1;2;1.000
55;2;1;1.325
55;1;1;2.750
38;1;1;1.150
30;1;1;1.000
45;3;1;750
54;3;1;695
75;3;1;600
75;3;2;1.300
52;5;1;895
85;2;1;1.350
325;5;5;650
54;3;1;1.150
300;3;5;3.700
97;1;3;990
88;3;2;4.700
60;2;1;1.750
69;1;2;1.000
80;3;1;980
72;1;1;1.500
127;2;2;1.500
56;1;1;1.077
82;3;1;1.980
45;2;1;1.000
57;2;1;850
40;2;1;700
57;4;1;950
67;3;1;670
96;2;2;950
80;1;1;690
55;4;1;1.700
40;2;1;1.250
243;2;3;950
95;1;2;1.000
77;4;1;3.975
30;3;1;1.300
105;3;1;850
65;1;1;600
80;4;2;1.300
45;3;1;790
105;2;2;1.150
100;1;2;1.210
85;4;1;1.180
75;4;1;890
90;2;1;1.500
78;3;2;1.050
46;1;1;1.050
78;2;1;1.000
29;2;1;930
79;4;1;850
62;2;2;570
138;2;2;1.100
74;2;2;920
60;3;1;1.950
70;4;2;1.350
64;3;1;750
130;2;2;1.100
80;3;2;800
60;3;1;1.765
190;4;3;1.500
72;2;2;850
107;3;2;3.500
60;4;2;950
87;1;2;850
248;3;3;850
65;3;1;1.150
49;2;1;9.000
130;3;2;750
59;3;1;690
75;4;1;1.390
63;3;1;900
235;3;4;950
113;4;2;1.150
70;2;2;3.000
110;3;2;1.250
123;1;2;1.100
90;2;1;1.100
41;4;1;1.600
100;2;2;900
105;2;2;690
91;3;2;4.500
80;2;2;1.500
73;1;1;1.300
82;2;1;1.483
51;3;1;900
72;2;2;1.100
117;3;2;898
40;5;1;1.190
100;2;1;1.677
439;2;4;675
75;3;1;800
100;3;1;5.900
60;1;1;900
65;4;1;1.050
55;2;1;700
190;3;4;995
50;5;1;1.050
98;3;2;4.900
150;1;3;1.000
93;2;2;1.600
47;1;1;1.200
33;2;1;850
57;3;1;1.783
82;3;1;900
90;1;2;725
115;3;2;900
53;4;1;1.150
61;1;1;1.400
88;1;2;850
78;2;1;1.150
45;2;1;1.200
65;3;1;1.090
70;1;1;800
44;3;1;740
60;2;1;1.949
101;2;1;775
59;2;1;1.100
100;1;2;775
164;3;2;698
36;1;1;1.800
75;2;1;2.124
40;1;1;590
47;3;1;975
44;3;1;650
129;2;1;700
65;2;1;650
60;2;1;1.600
86;2;2;819
93;2;1;800
65;1;1;1.550
77;3;2;1.650
50;3;1;720
65;2;1;1.275
54;3;1;650
70;2;2;890
78;5;1;750
119;2;3;990
250;2;3;900
74;4;1;1.500
75;1;1;4.600
120;2;1;785
59;5;1;1.000
65;3;2;2.000
220;3;4;1.835
80;3;1;1.000
91;2;1;3.500
140;1;2;1.200
69;1;1;850
60;2;1;899
45;3;1;890
78;3;1;850
175;3;3;680
65;3;2;1.150
75;1;2;1.700
53;2;1;950
43;3;1;975
60;1;1;800
76;3;1;800
60;3;2;1.700
80;4;2;800
100;3;2;800
250;2;3;950
106;1;2;5.700
68;2;1;2.900
48;3;1;1.375
65;2;2;900
75;2;2;850
70;3;1;885
55;2;1;850
72;2;1;1.100
65;4;1;650
51;4;1;945
98;5;2;840
133;2;2;1.300
168;3;2;1.150
85;3;1;2.100
92;3;1;3.160
88;3;2;825
97;3;2;1.025
85;2;1;990
166;3;4;1.250
65;3;1;1.040
60;3;1;2.200
98;2;2;950
65;1;1;780
90;1;1;1.300
41;3;1;850
47;1;1;890
71;2;1;650
60;2;1;850
70;4;1;1.000
63;2;1;1.100
85;2;2;790
75;2;1;750
80;5;1;1.060
71;2;1;925
167;3;4;1.750
86;4;1;890
139;3;2;950
75;2;1;2.600
54;1;1;890
66;3;1;950
34;2;1;778
139;1;2;1.150
30;5;1;600
57;2;1;2.300
275;3;4;625
111;2;2;2.750
70;1;1;1.350
98;3;2;650
70;3;1;800
120;2;2;2.800
80;3;1;1.050
116;4;2;2.600
89;2;1;980
89;4;1;2.700
77;1;1;1.000
135;2;2;950
39;2;1;1.040
95;2;2;1.450
77;1;1;650
75;6;2;1.350
45;2;1;1.200
228;1;3;1.200
62;4;1;820
36;2;1;4.000
95;3;2;700
48;1;1;900
56;3;1;1.420
50;3;1;1.760
69;3;1;1.000
82;2;2;830
80;2;1;1.300
80;4;2;800
57;3;1;1.550
111;1;2;1.550
168;1;3;790
130;2;1;1.600
56;3;1;3.000
70;6;1;1.500
96;2;2;1.200
980;6;5;1.100
55;3;1;1.900
240;5;3;14.000
143;2;2;1.200
274;1;4;3.500
72;2;2;3.400
50;3;1;3.972
73;4;1;788
70;3;2;725
74;3;1;1.100
80;2;1;1.110
150;3;2;850
72;3;2;1.150
67;3;1;2.000
92;1;2;885
61;1;1;900
62;1;1;1.050
50;3;1;890
44;4;1;890
59;1;1;1.400
84;2;2;600
50;1;1;715
42;2;1;1.150
57;4;1;850
58;2;1;850
133;4;2;765
34;2;1;1.835
93;3;2;1.400
63;1;1;750
75;2;1;1.000
86;2;1;875
70;2;1;1.100
101;3;2;970
70;2;1;1.225
90;3;2;1.400
75;3;1;1.600
145;3;3;1.900
132;2;2;800
160;3;2;1.990
57;1;1;1.550
69;2;1;2.200
50;3;1;690
93;1;1;875
70;4;1;700
48;1;1;1.100
100;2;2;875
58;3;2;900
55;2;1;1.300
120;1;2;790
95;1;1;850
40;2;1;2.000
35;2;1;850
49;3;2;750
65;4;1;600
80;3;1;950
129;4;2;1.400
173;3;2;900
84;1;2;1.650
88;2;2;1.600
65;3;1;1.125
65;2;1;890
93;2;2;1.200
55;3;1;1.300
46;1;1;1.100
88;2;2;580
60;3;1;800
72;2;2;900
80;3;1;1.050
76;3;2;1.190
50;3;2;900
105;1;2;1.090
84;2;2;599
35;1;1;2.300
55;1;1;1.150
48;1;1;750
45;3;1;790
38;4;1;800
60;1;1;890
250;2;3;760
38;2;1;1.026
29;3;1;600
80;2;2;725
105;1;2;790
94;1;2;1.385
30;3;1;1.600
51;3;1;1.200
61;3;1;600
86;2;2;900
60;3;1;1.000
53;1;1;1.160
80;3;1;775
90;1;1;980
140;3;2;1.550
45;3;1;3.000
140;2;1;3.000
129;3;2;700
90;3;2;1.300
62;5;1;1.800
78;3;1;1.250
279;1;5;890
74;3;1;1.100
68;1;1;3.500
103;5;2;1.040
49;2;1;1.000
257;1;5;1.800
80;3;1;700
65;3;1;4.900
50;3;1;1.450
125;3;2;1.045
68;4;1;830
124;1;2;2.000
100;2;2;750
46;1;1;1.400
56;2;1;1.000
49;1;1;870
68;4;1;1.250
28;3;1;650
252;3;3;1.300
129;3;2;575
81;2;2;3.200
120;3;1;1.480
55;1;1;1.157
87;3;2;1.350
41;3;1;750
142;3;2;1.150
114;3;2;500
80;2;1;1.850
65;2;2;2.740
42;3;1;1.100
120;3;2;1.150
149;3;2;750
90;3;2;1.600
78;3;1;2.350
75;1;1;1.290
85;1;1;850
45;3;1;900
50;1;1;750
91;2;1;699
80;2;1;850
65;3;2;950
55;2;1;1.700
79;3;1;1.100
60;2;1;890
143;1;3;890
45;2;1;589
60;3;1;4.950
65;2;1;1.000
126;2;2;800
70;4;1;1.050
59;2;2;1.500
142;3;2;975
170;4;2;1.150
98;1;1;1.420
89;3;2;3.000
68;2;1;1.050
63;1;1;1.200
85;2;1;850
35;3;1;1.175
67;2;2;900
90;2;2;750
79;2;1;1.250
57;1;1;1.350
90;4;1;1.250
35;3;1;1.150
114;2;2;1.500
68;3;2;750
85;2;1;2.000
81;3;1;999
70;3;1;1.450
51;1;1;900
65;3;2;1.050
44;2;1;714
171;2;2;996
100;2;2;750
50;4;1;2.350
59;1;1;1.900
102;4;2;780
87;3;1;850
172;3;3;1.400
77;3;2;1.100
100;2;2;2.600
100;1;2;1.460
60;1;1;1.650
55;2;1;1.650
69;1;1;825
39;2;1;899
33;2;1;1.000
77;3;1;600
80;1;1;640
95;3;1;1.200
40;3;1;1.100
87;3;1;1.100
77;3;1;650
65;3;1;890
70;4;1;850
140;4;2;850
180;2;3;1.100
69;1;1;2.500
65;2;1;9.000
50;4;1;800
35;2;1;950
100;1;2;930
76;5;1;1.100
40;3;1;1.200
160;2;1;1.300
120;3;2;750
70;2;2;2.445
109;2;3;1.400
56;3;1;1.600
54;4;2;2.000
100;2;2;821
100;3;1;1.150
80;4;2;1.550
64;3;1;990
129;2;2;900
81;3;2;895
75;3;1;1.650
101;3;2;800
128;3;2;850
90;3;1;1.031
65;1;2;1.250
109;3;1;1.245
74;4;1;895
75;2;1;1.090
201;4;2;1.300
87;1;1;1.116
98;3;2;2.980
34;1;1;1.500
97;4;2;1.200
45;2;1;900
93;1;1;1.100
74;4;1;875
200;2;2;1.000
60;4;1;2.200
61;2;1;800
135;2;2;1.200
80;2;1;870
79;4;1;2.790
70;2;2;1.000
127;2;2;895
90;3;1;995
82;1;2;1.950
55;2;1;1.100
44;2;1;1.150
61;1;1;775
63;2;1;1.350
32;1;1;1.100
48;3;1;850
37;2;1;700
89;1;2;850
65;3;1;660
55;3;1;1.500
105;3;1;1.050
80;1;1;800
84;3;1;1.900
50;2;1;1.050
75;3;1;940
85;3;1;975
70;1;1;1.250
85;3;1;1.150
40;2;1;850
100;4;2;880
169;1;1;650
128;2;3;600
35;4;1;2.600
43;2;1;1.600
81;3;2;690
150;3;2;700
65;1;1;980
95;1;2;2.800
41;2;1;850
75;2;1;1.300
80;1;2;900
75;2;1;1.430
50;3;2;1.600
85;2;2;875
83;7;1;975
80;4;1;1.500
202;1;2;1.000
110;4;2;1.000
42;2;1;2.300
85;1;1;1.600
55;3;1;650
65;2;1;1.000
80;4;2;1.300
75;1;2;900
91;2;2;1.270
40;4;1;1.290
55;4;1;1.150
155;1;2;586
80;2;1;1.300
33;4;1;2.000
55;3;1;1.000
85;2;1;525
90;4;2;1.200
90;3;2;1.300
125;2;1;1.150
180;3;3;1.000
70;4;1;1.160
85;3;1;2.700
153;3;3;1.500
127;3;2;1.050
84;2;1;2.676
90;2;2;1.980
180;3;3;1.000
95;3;2;1.250
90;4;1;2.500
70;3;1;1.450
69;3;1;850
75;1;1;900
74;4;2;899
55;1;1;810
139;4;2;1.460
49;6;2;700
90;2;2;1.930
220;1;2;850
60;2;1;1.300
40;2;1;4.000
77;2;2;1.000
65;3;1;850
49;2;1;1.400
82;4;1;870
63;2;1;1.000
50;1;1;860
41;3;1;800
80;2;2;1.100
100;2;2;475
61;2;2;1.600
60;1;1;1.500
150;4;2;1.246
45;5;1;1.170
253;2;3;3.500
159;1;3;950
75;2;1;3.800
50;3;1;3.500
65;1;1;900
80;4;1;850
35;2;1;890
106;2;1;1.300
77;3;1;650
62;2;1;1.200
140;2;2;750
86;4;1;1.250
75;3;1;1.900
102;2;1;825
76;3;1;900
60;4;2;995
150;5;2;1.000
154;4;2;750
112;3;2;1.800
107;2;2;2.000
147;4;3;1.450
80;4;2;1.150
78;3;2;4.500
110;1;2;1.450
78;2;1;1.000
60;3;1;1.600
69;2;1;850
80;1;2;900
70;5;1;1.200
75;3;1;725
150;2;2;700
130;3;2;850
70;3;1;1.450
198;3;2;1.950
101;5;2;950
100;2;1;2.250
374;4;5;1.550
95;1;1;1.200
140;2;2;4.950
55;2;1;1.185
85;1;1;2.000
70;1;1;900
60;4;1;1.600
48;3;2;1.500
125;3;2;1.063
350;4;4;750
57;3;1;1.400
120;4;2;4.500
227;2;2;730
90;3;2;1.160
80;2;1;3.500
74;1;1;1.100
57;5;2;1.600
35;2;1;1.100
290;1;4;850
80;3;2;600
60;4;1;3.200
90;1;2;1.425
112;3;2;690
47;1;1;1.500
88;4;2;1.700
35;3;1;1.100
107;2;1;1.100
74;3;1;750
62;2;1;1.300
81;3;2;845
70;1;2;1.100
98;3;2;1.100
40;3;1;1.100
86;2;1;1.200
147;5;2;850
72;4;1;1.000
141;2;3;1.190
110;3;2;892
60;4;2;1.390
81;1;1;1.500
75;1;1;1.350
48;2;1;900
60;2;1;1.000
93;1;1;900
80;3;2;1.000
50;2;1;1.100
98;3;2;950
